term,pos,notes,is_case_sensitive,translation_nl
Circle Geofence,noun,A geofence defined by a central point with a radius to form a circular boundary.,FALSE,Cirkel Geofence
City,noun,The city where the geofence is located.,FALSE,
Class 6-8 Vehicles,verb,Heavy-duty vehicles classified based on their weight,FALSE,
Coachable Events,verb,"Events that can put the driver or the vehicle at risk while driving. Also called Alerts, these events impact the GreenZone Score negatively.",TRUE,Coachbare Gebeurtenissen
Coaching Completed,verb,Indicates that the driver has reviewed the alert and completed the coaching process.,FALSE,Coaching Voltooid
Coaching Configurations,verb,"Settings that allow safety managers to customize how coaching sessions are structured, such as choosing which alerts to share and when they are shared.",FALSE,Coachingsconfiguraties
Coaching Manager,verb,"The person responsible for reviewing, assigning, and conducting coaching sessions with drivers.",FALSE,Manager Coaching
Coaching Need,verb,Identifying which drivers require guidance based on their alerts or driving behavior.,FALSE,Coachen
Coaching Parameters,verb,"Criteria used to decide if a driver needs coaching, like score thresholds.",FALSE,Coachingsparameters
Coaching Review,verb,A review of the Coaching Session by the Manager that marks the session complete.,FALSE,Coaching Beoordelen
Coaching Session Configuration,noun,The settings used by Safety Managers to set up coaching sessions. This can include adding specific alerts from the Events screen or selecting other options to tailor the session.,FALSE,Configuratie Coachingsessie
Coaching Session Notes,verb,"Written records made during or after a coaching session that summarize key points, such as alerts, driver responses, and improvement plans.",FALSE,Opmerkingen coachingsessie
Coaching Sessions,verb,"A training session for drivers, which includes alert examples and driving statistics. Coaching Sessions are focused on helping Fleets improve driver performance.",TRUE,Coachingsessies
Coaching Status,verb,"The current progress of coaching related to an alert, indicating whether the driver has reviewed it, completed it, or requires further coaching.",FALSE,Coachingsstatus
Collision Management,noun,"The process of analyzing and handling incidents where vehicles are involved in crashes, even minor ones.",FALSE,Botsingsbeheer
Collision Warning,noun,"Generated when the driver is 2.6 seconds ahead of an impending collision with any stopped, slowly moving, or braking vehicle in front.",TRUE,Botswaarschuwing
Collison-Warning,noun,,FALSE,botswaarschuwing
Comments Section,noun,A text box where users can write their suggestions or explain their feedback.,FALSE,Reactiegedeelte
Comments Tab,verb,"A section where managers can add notes related to an alert, visible to drivers in the Driverâ€šÃ„Â¢i App.",FALSE,Reactietabblad
Commercial Motor Vehicle,verb,"Large vehicles used for business purposes, such as transporting goods or passengers.",FALSE,commercieel motorvoertuig
Compare Driver Groups,verb,Feature that helps compare selected Driver Group(s) in a Fleet.,FALSE,Bestuurdersgroepen Vergelijken
Comparison,verb,Checking the difference between the current and previous scores for a driver or fleet.,FALSE,vergelijking
Completed Coaching Sessions (Managed and Virtual):,verb,Comparing the number of completed Coaching Sessions helps Fleet managers understand their training effectiveness and identify areas where additional coaching may be needed for drivers in the Groups.,FALSE,Voltooide coachingsessies (geleid en virtueel):
Completed Session,noun,A coaching session that has been fully reviewed and marked as completed by the driver.,TRUE,Voltooide Sessie
Completed Tab,verb,A section showing disputes that have been reviewed and resolved.,FALSE,Tabblad Voltooid
Compliance Rate,verb,The percentage of times a driver or fleet follows the rules compared to all attempts.,FALSE,Nalevingspercentage
Compliance Trends,noun,Comparison between the Fleet and the drivers' performance based on Alert Type Compliance. This can be accessed from the GreenZone Statistics page in IDMS Portal.,FALSE,Naleving Trends
Compound Alert,verb,A combination of two Base Alerts that occurred closely together in the same minute.,FALSE,Samengestelde Waarschuwing
Compound Driver Distraction Alerts,noun,,FALSE,Samengestelde Waarschuwingen voor Afgeleide Bestuurder
Compound Harsh Handling Alerts,noun,,FALSE,Samengestelde waarschuwingen voor Ruw Rijden
Configuration Parameters,verb,Settings that can be adjusted to customize the alerts and cameras for a fleet.,FALSE,
Configurations,verb,configuration page enables the customers to perform fleet level configuration for certain features of the Netradyne Portal.,FALSE,
Congested Highways,verb,"Busy roads with heavy traffic, making navigation and parking challenging.",FALSE,overvolle snelwegen
Contextual Understanding,verb,The ability to analyze what happened before and after an alert to understand the situation better.,FALSE,contextueel begrip
Control of the Vehicle,verb,The ability to steer and maneuver the vehicle safely while driving.,FALSE,besturing van het voertuig
Corrective Actions,verb,Steps that can be taken based on dashboard insights to address identified operational or administrative issues.,FALSE,corrigerende maatregelen
Corrective Window,verb,The time a driver has to adjust their behavior after hearing an alert before a dashboard notification is issued.,FALSE,correctievenster
Create a New Request,verb,A section where users can request additional video footage by providing necessary details.,TRUE,Nieuw Verzoek Aanmaken
Create New Request,verb,An option in the portal to generate a new driver report based on selected criteria.,TRUE,Nieuw Verzoek Aanmaken
Created (Driver Status),verb,"Indicates that a driver has been successfully added to the system, but may not yet be fully operational or active.",FALSE,Aangemaakt (Bestuurderstatus)
Created Separation by Slowing Down,noun,"A DriverStar awarded when the driver reduces speed to maintain safe distance, contributing positively to the GreenZone score.",FALSE,Scheiding creÃ«ren door te vertragen
Credentials,verb,"A set of information, like a username and password, used for login.",FALSE,
CSV (Comma-Separated Values),verb,"A file format that stores data in a plain text, table-like structure with values separated by commas.",FALSE,CSV (Comma-Separated Values)
CSV File,verb,A file format used to upload or manage multiple geofences at once.,FALSE,CSV-bestand
Custom Date,verb,A specific date range chosen by the user.,FALSE,
Custom Date Filter,noun,A tool to select specific weeks or months to view accurate GreenZone Scores.,FALSE,
Custom Filter,noun,A feature allowing reports to be generated for specific drivers meeting certain conditions.,FALSE,
Custom Geofences,verb,Geofences created to match specific needs or requirements of a fleet.,FALSE,
Customer Action,noun,"The response of a customer regarding the return of a defective device, which can include actions like confirming return, requesting a call, or being unreachable.",FALSE,
Cyclists,verb,"People riding bicycles, who may also be crossing intersections.",FALSE,
D-430/D-450 Devices,verb,Specific models of Driverâ€šÃ„Â¢i devices that detect severe drowsiness.,FALSE,D-430/D-450-Apparaten
Daily,verb,Time frequency,FALSE,
Dashboard||dashboard,noun,Module in the Netradyne Portal that allows the user to gain insights into the Fleet performance and operational updates.,FALSE,
Dashboard Advisory Alert,noun,"A visual or audio notification on the dashboard, advising the driver about safety-related events.",FALSE,Dashboardwaarschuwing
Dashboard Alert,noun,Dashboard Alert is generated if the driver does not act upon the In-Cab Audio Alert within a pre-configured time.,FALSE,Dashboardwaarschuwing
Date and Period Filter,noun,"A tool to choose the time frame (weekly, monthly, or custom) for viewing compliance data.",FALSE,Datum- en periodefilter
Date Range,verb,The specific time period for which data is displayed on the chart.,FALSE,
Day,verb,Time frequency,FALSE,
Days,verb,Time frequency,FALSE,
Deactivate,verb,Temporarily disable a geofence so it no longer monitors the area.,FALSE,
Deactivated Driver,noun,"Drivers that are no longer associated with the fleet are moved to deactivated state. Deactivated drivers can be activated at any point of time, if required.",TRUE,Gedeactiveerde Bestuurder
Deactivated Geofence,noun,A geofence that is turned off or no longer in use.,FALSE,Geofence gedeactiveerd
Dec,verb,Monthly,FALSE,Dec
Deceleration,noun,The rate at which a vehicle slows down.,FALSE,Vertraging
Decreased Control,verb,Difficulty in steering or managing the vehicle while reversing.,FALSE,Verminderde controle
Default Settings,verb,"Pre-configured values applied automatically if specific details are not provided (e.g., radius of 50m).",TRUE,Standaardinstellingen
Defensive Driving,verb,"Techniques used to anticipate and react to potential hazards on the road, aiming to reduce accidents and improve safety.",FALSE,Defensief rijden
Defensive Driving Techniques,verb,"Methods and strategies aimed at preventing accidents or reducing risks, such as maintaining safe following distance or avoiding distractions.",FALSE,Technieken voor defensief rijden
Delete Invalid Entries,verb,The option to remove incorrect data entries before uploading the correct ones.,FALSE,Ongeldige invoer verwijderen
Demerit Points,verb,"Points added to a driverâ€šÃ„Ã´s record for violations, which can lead to penalties or license suspension.",FALSE,Punten
Device Health,noun,"Condition of the device. Device Health can help identify devices that did not respond for more than 24 hours, devices that have issues reported, and devices to be returned (RMA devices).",FALSE,Apparaatstatus
Device Health Report,verb,A report that summarizes the health condition of the device.,FALSE,Apparaatstatusrapport
Device Health Section,noun,Part of the Fleet Admin page providing insights into device health and facilitating proactive maintenance.,FALSE,Sectie Apparaatstatus
Disabled Coaching for Unknown Driver,noun,Indicates that coaching is unavailable for an alert because the driver is unknown or cannot be identified.,FALSE,Gehandicaptencoaching voor onbekenden Bestuurder
Disc Brake Icon,verb,A symbol in the alert video indicating the start of a hard braking event.,FALSE,Schijfrem Icoon
Dispute,verb,A challenge made by a driver or manager if they think an alert is incorrect or unfair.,FALSE,
Dispute Category,verb,"A classification for the type of dispute raised (e.g., invalid alert, extenuating circumstances).",FALSE,Geschilcategorie
Dispute ID,verb,"A unique identifier assigned to each dispute made against an alert, allowing it to be tracked and reviewed separately.",FALSE,Geschil-id
Disrupt Traffic Flow,verb,Actions like running a red light that interfere with the smooth movement of vehicles.,FALSE,De verkeersstroom verstoren
Distance Greater than 45m,verb,Refers to when the vehicle travels over 45 meters after passing the red light before a second alert is generated.,FALSE,Afstand groter dan 45m
Distracted Driving,verb,"A behavior where a driverâ€šÃ„Ã´s attention is diverted from the road, often due to phone use, eating, or other distractions, resulting in alerts.",FALSE,
Download Video Icon,verb,A button used to save the video to a computer or device.,FALSE,Video-icoon downloaden
Downward Spikes,verb,Dips on the alert video graph indicating periods of hard acceleration.,FALSE,Neerwaartse pieken
Drinking,verb,,FALSE,Drinken
Drive Time,verb,The sum of all driving minutes constitutes theâ€šÃ„Ã˜drive time,TRUE,Rijtijd
Drive Time Assignment,noun,Assigning a specific driving session to a driver based on recorded data.,TRUE,Rijtijdtoewijzing
Driver,noun,An individual who is driving the vehicle.,FALSE,bestuurder
Driver & Fleet Score,verb,A score that shows how well a driver or the entire fleet is performing over time.,FALSE,Bestuurder- & Wagenparkscore
Driver Activity (App),verb,"Driver Activity (App) tab focuses on driver-specific information. It displays the driver's unique ID, full name, and group information.",FALSE,Bestuurdersactiviteit (App)
Driver Assignment,noun,A method to capture and assign the drive time to the driver. There are various methods of Driver Assignment that can be used by the Fleets.,FALSE,Bestuurdersopdracht
Driver Assignment Workflow,verb,Steps involved in linking or reassigning drivers to specific drive times.,FALSE,workflow voor Bestuurdersopdrachten
Driver Autonomy,verb,"The ability of drivers to make independent decisions about their performance and safety, often through tools like self-coaching.",FALSE,Autonomie Bestuurder
driver behavior,verb,"Comparing driver performance across Groups can help identify patterns and develop Coaching Sessions to improve driver skills, leading to enhanced safety and efficiency.",TRUE,bestuurdersgedrag
Driver Card,verb,"A detailed view in the system showing specific information about a driverâ€šÃ„Ã´s alerts, GreenZone score, and feedback provided during a coaching session.",FALSE,Bestuurdersoverzicht
Driver Chart,verb,Charts on the Driver Profile page that represent events generated by the driver in graphical format.,FALSE,Bestuurdersgrafiek
Driver Communications,verb,,FALSE,Bestuurderscommunicatie
Driver Disputes,verb,"A page in the coaching sessions section that allows Safety Managers to view all feedback and disputes related to alerts issued for drivers, enabling efficient review and decision-making.",FALSE,Bestuurdersgeschillen
Driver Disputes Page,verb,A central location for Safety Managers to see and review feedback or disputes about alerts.,FALSE,Pagina met geschillen Bestuurder
Driver Distraction,noun,"Alert that detects when the driver is distracted for more than a few seconds. Driverâ€šÃ„Â¢i currently detects talking on phone, looking at phone, or looking down and considers them as driver distractions.",TRUE,Afgeleide Bestuurder
Driver Filter Panel,verb,A tool to compare one driverâ€šÃ„Ã´s score with the average fleet score.,FALSE,Filterpaneel Bestuurder
Driver Group,verb,,FALSE,Bestuurdersgroep
Driver Groups,verb,Feature that helps manage a large number of drivers by segregating them into groups.,FALSE,Bestuurdersgroepen
Driver Initiated,verb,,FALSE,Geactiveerd door Bestuurder
Driver Initiated Alert,noun,A safety alert manually triggered by the driver.,FALSE,Door de Bestuurder Geactiveerde Waarschuwing
Driver Initiated Alerts,noun,Alerts generated when the driver or passenger presses a button on the device to report a hazardous situation on the road.,FALSE,Door de Bestuurder Geactiveerde Waarschuwingen
Driver Insight Report,noun,Driver Insight Report provides a comprehensive analysis of individual driver details for a selected duration.,FALSE,Bestuurdersinzichtrapport
Driver Insights,verb,Useful information derived from analyzing driver behavior to improve safety and performance.,FALSE,Bestuurdersinzichten
Driver Name,noun,The name of the driver associated with the alert.,TRUE,Naam Bestuurder
Driver Notification,noun,"Drivers are notified when a comment or alert is shared with them via the Driverâ€šÃ„Â¢i App. They can view the alert, watch the related video, acknowledge the feedback, or reply with comments.",FALSE,Melding Bestuurder
Driver Page,verb,A portal page where detailed information about individual drivers or the entire fleet can be accessed.,FALSE,Bestuurderspagina
Driver Patterns,verb,"Repeated behaviors or trends in a driverâ€šÃ„Ã´s performance, like frequent speeding.",FALSE,
Driver Performance,noun,"An assessment of a driverâ€šÃ„Ã´s behavior and safety metrics, including GreenZone score, alerts, and DriverStars.",FALSE,
Driver Profile,verb,A detailed screen showing information about a driver's driving performance and most frequent alerts.,TRUE,Bestuurdersprofiel
Driver Ranking,verb,"A system that ranks drivers based on their performance, such as safety or efficiency.",FALSE,Bestuurdersrangschikking
Driver Report,verb,A detailed report that provides insights into the performance and behavior of all drivers in a fleet.,FALSE,Bestuurdersrapport
Driver Response,noun,"The feedback or plan for improvement provided by a driver in response to coaching or alerts, typically shared through the system's comment section.",TRUE,Reactie van de Bestuurder
Driver Retention,noun,"The ability to keep drivers employed and satisfied, reducing turnover by recognizing and rewarding their performance.",TRUE,Bestuurdersbehoud
Driver Score,verb,"Driver Score is a numerical representation of a driver's overall performance, considering factors such as Alerts generated and DriverStars awarded.",FALSE,Driver Score
Driver Side Button Alert,verb,An alert triggered by the driver pressing the alert button on the Driverâ€šÃ„Â¢i device.,FALSE,Bestuurder Waarschuwing zijknop
Driver Statistics Report,noun,A report that displays Driver Details and Alert Statistics for drivers.,FALSE,Bestuurderstatistieken
Driver Status Report,noun,A report that summarizes details about the drivers active at the time of generating the report and drivers who were deactivated during the previous week.,FALSE,Bestuurder Statusrapport
Driver Streaks,noun,Driver Streaks are designed to recognize and reward consistent safe driving practices. They serve as a performance measurement tool that motivates drivers to continually exhibit safe behaviors on the road.,FALSE,Bestuurdersreeksen
Driver.i Installer App,noun,An application providing diagnostics to troubleshoot CAN connectivity issues by identifying missing or disconnected data points.,FALSE,Driverâ€¢i Installatieprogramma
Driver.i Metrics,verb,"This section provides a graphical representation of GreenZone Score, Total Number of DriverStars, Total Number of Alerts generated for the selected duration.",FALSE,Driverâ€¢i Metriek
Driver.i Team,verb,The group responsible for reviewing feedback and ensuring alerts are accurate and useful.,FALSE,Driverâ€¢i Team
Driver-Distracted Following-Distance,noun,,FALSE,Volgafstandsovertreding door Afgeleide Bestuurder
Driver-Distracted--Hard-Brake,noun,,FALSE,Hard Remmen door Afgeleide Bestuurder
Driver-Distracted--Hard-Turn,noun,,FALSE,Scherpe Bocht door Afgeleide Bestuurder
Driver-Distracted--Speeding,noun,,FALSE,
Driver-Distracted--Stop-Sign,noun,,FALSE,Bestuurder Afgeleid - Stopteken
Driver-Distracted--Traffic-Light,noun,,FALSE,Bestuurder Afgeleid - verkeerslicht
Driver-Distracted--Weaving,noun,,FALSE,Bestuurder Afgeleid - Ritsen
Driver-Distraction,noun,,FALSE,
Driver-Drowsiness,noun,,FALSE,Vermoeide Bestuurder
Driver-Initiated,verb,,FALSE,Door de Bestuurder geÃ¯nitieerd
Drivers,verb,,FALSE,bestuurders
Drivers & Fleet Goal,verb,A tab that tracks progress toward performance goals for drivers and fleets.,FALSE,Bestuurders & Wagenpark Doel
Drivers Legacy,verb,,FALSE,Bestuurders Erfenis
